arm,trust_climate_scientists,consensus_perceived,belief_human_cause,human_contribution,natural_contribution,evidence_human,evidence_natural,policy_fedgov_more,policy_green_new_deal,policy_paris,policy_priority,trust_pre,belief_pre,party_lean,gender,education,age_band,manip_check
Control (unrelated text),3.0,80.0,2.0,2.0,2.0,2.0,3.0,2.0,12.0,10.0,2.0,3.0,2.0,Republican,Male,No degree,30-44,3.0
Causal evidence,2.0,72.0,1.0,2.0,3.0,2.0,3.0,3.0,8.0,6.0,3.0,2.0,2.0,Republican,Female,No degree,30-44,2.0
Control (unrelated text),1.0,91.0,1.0,1.0,2.0,2.0,1.0,2.0,7.0,5.0,1.0,2.0,1.0,Republican,Male,BA+,30-44,2.0
Control (unrelated text),3.0,81.0,2.0,2.0,2.0,2.0,2.0,3.0,9.0,8.0,3.0,3.0,2.0,Republican,Female,No degree,45-59,3.0
Causal evidence,2.0,61.0,1.0,2.0,2.0,2.0,2.0,3.0,9.0,10.0,3.0,2.0,2.0,Republican,Female,BA+,30-44,2.0
Causal evidence,2.0,70.0,2.0,2.0,1.0,2.0,1.0,3.0,12.0,10.0,3.0,3.0,2.0,Republican,Male,BA+,60+,2.0
Scientific consensus,2.0,97.0,1.0,1.0,4.0,1.0,4.0,3.0,12.0,9.0,3.0,1.0,1.0,Republican,Female,BA+,60+,1.0
Control (unrelated text),2.0,80.0,1.0,1.0,3.0,1.0,2.0,2.0,10.0,9.0,3.0,2.0,1.0,Republican,Male,BA+,45-59,3.0
Control (unrelated text),3.0,40.0,3.0,3.0,1.0,3.0,1.0,5.0,12.0,10.0,4.0,3.0,3.0,Republican,Female,No degree,45-59,3.0
Scientific consensus,1.0,90.0,2.0,1.0,2.0,1.0,4.0,1.0,6.0,9.0,1.0,1.0,1.0,Republican,Female,BA+,30-44,3.0
Scientific consensus,4.0,40.0,3.0,4.0,3.0,4.0,3.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Male,No degree,30-44,1.0
Scientific consensus,2.0,90.0,2.0,2.0,2.0,2.0,2.0,4.0,12.0,10.0,3.0,2.0,2.0,Republican,Male,No degree,60+,2.0
Causal evidence,3.0,20.0,2.0,2.0,2.0,2.0,2.0,3.0,12.0,10.0,4.0,3.0,2.0,Republican,Male,No degree,30-44,2.0
Causal evidence,2.0,73.0,1.0,1.0,3.0,2.0,3.0,2.0,8.0,7.0,2.0,2.0,1.0,Republican,Female,BA+,60+,2.0
Control (unrelated text),2.0,20.0,3.0,2.0,1.0,2.0,2.0,3.0,11.0,10.0,4.0,3.0,3.0,Republican,Female,No degree,45-59,3.0
Causal evidence,4.0,50.0,3.0,4.0,1.0,4.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Female,Some college,60+,1.0
Scientific consensus,1.0,97.0,1.0,1.0,2.0,1.0,2.0,2.0,8.0,6.0,2.0,2.0,2.0,Republican,Female,BA+,60+,1.0
Causal evidence,2.0,85.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,6.0,2.0,2.0,1.0,Republican,Female,No degree,30-44,2.0
Control (unrelated text),2.0,30.0,1.0,2.0,2.0,2.0,2.0,2.0,10.0,8.0,2.0,2.0,1.0,Republican,Female,No degree,30-44,3.0
Control (unrelated text),3.0,79.0,2.0,2.0,2.0,2.0,2.0,4.0,10.0,8.0,4.0,3.0,2.0,Republican,Female,Some college,45-59,3.0
Causal evidence,2.0,98.0,1.0,1.0,3.0,1.0,3.0,3.0,11.0,7.0,2.0,2.0,1.0,Republican,Female,No degree,60+,2.0
Control (unrelated text),2.0,90.0,3.0,1.0,2.0,2.0,3.0,3.0,7.0,4.0,2.0,2.0,2.0,Democrat,Male,BA+,30-44,3.0
Scientific consensus,2.0,85.0,1.0,1.0,3.0,1.0,1.0,2.0,6.0,4.0,2.0,1.0,1.0,Independent,Male,BA+,30-44,1.0
Causal evidence,3.0,20.0,3.0,3.0,1.0,3.0,1.0,5.0,12.0,10.0,4.0,3.0,3.0,Republican,Male,BA+,60+,2.0
Scientific consensus,2.0,85.0,1.0,2.0,1.0,3.0,2.0,2.0,7.0,8.0,2.0,2.0,2.0,Republican,Female,No degree,45-59,1.0
Control (unrelated text),3.0,90.0,1.0,2.0,2.0,2.0,2.0,3.0,12.0,10.0,2.0,3.0,2.0,Republican,Female,Some college,45-59,3.0
Causal evidence,4.0,86.0,3.0,3.0,1.0,3.0,3.0,3.0,11.0,10.0,2.0,4.0,3.0,Republican,Female,BA+,45-59,2.0
Control (unrelated text),1.0,80.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,5.0,1.0,1.0,1.0,Republican,Female,BA+,45-59,3.0
Scientific consensus,2.0,85.0,1.0,2.0,1.0,2.0,2.0,3.0,9.0,8.0,2.0,3.0,2.0,Republican,Female,No degree,45-59,2.0
Control (unrelated text),3.0,80.0,2.0,2.0,2.0,2.0,2.0,3.0,12.0,10.0,3.0,3.0,2.0,Republican,Male,BA+,60+,3.0
Control (unrelated text),1.0,82.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,1.0,1.0,1.0,Republican,Male,BA+,30-44,2.0
Scientific consensus,3.0,95.0,3.0,3.0,1.0,3.0,2.0,5.0,12.0,10.0,4.0,3.0,3.0,Republican,Male,BA+,60+,1.0
Scientific consensus,2.0,97.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,5.0,1.0,2.0,2.0,Republican,Female,No degree,30-44,1.0
Control (unrelated text),2.0,77.0,3.0,2.0,1.0,2.0,2.0,2.0,6.0,4.0,2.0,2.0,3.0,Independent,Male,No degree,30-44,3.0
Causal evidence,2.0,97.0,1.0,2.0,2.0,2.0,1.0,3.0,12.0,10.0,3.0,2.0,2.0,Republican,Male,No degree,18-29,2.0
Control (unrelated text),4.0,50.0,3.0,4.0,1.0,3.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Independent,Male,BA+,30-44,3.0
Causal evidence,2.0,71.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,7.0,1.0,2.0,1.0,Republican,Male,Some college,30-44,2.0
Scientific consensus,1.0,92.0,1.0,1.0,3.0,1.0,1.0,2.0,10.0,6.0,2.0,1.0,1.0,Republican,Male,No degree,45-59,1.0
Causal evidence,3.0,65.0,3.0,2.0,1.0,2.0,2.0,4.0,12.0,10.0,3.0,3.0,3.0,Republican,Male,BA+,45-59,2.0
Scientific consensus,2.0,76.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,10.0,2.0,3.0,2.0,Independent,Male,BA+,18-29,2.0
Causal evidence,1.0,85.0,1.0,1.0,3.0,1.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,Republican,Female,BA+,30-44,2.0
Control (unrelated text),2.0,80.0,1.0,1.0,2.0,1.0,2.0,2.0,11.0,7.0,2.0,2.0,1.0,Republican,Female,BA+,60+,3.0
Scientific consensus,2.0,60.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,6.0,2.0,2.0,2.0,Republican,Male,BA+,45-59,1.0
Causal evidence,1.0,69.0,2.0,1.0,2.0,2.0,4.0,2.0,9.0,7.0,3.0,2.0,2.0,Republican,Male,No degree,18-29,2.0
Scientific consensus,2.0,97.0,1.0,2.0,3.0,2.0,3.0,1.0,12.0,10.0,4.0,2.0,1.0,Republican,Female,Some college,45-59,2.0
Control (unrelated text),2.0,51.0,2.0,2.0,1.0,2.0,2.0,3.0,12.0,8.0,3.0,2.0,2.0,Republican,Male,BA+,30-44,3.0
Scientific consensus,4.0,92.0,1.0,2.0,1.0,2.0,1.0,3.0,12.0,10.0,3.0,3.0,3.0,Republican,Male,BA+,45-59,2.0
Causal evidence,2.0,73.0,1.0,2.0,2.0,2.0,1.0,3.0,7.0,5.0,2.0,2.0,1.0,Independent,Male,BA+,18-29,2.0
Control (unrelated text),1.0,95.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,5.0,1.0,1.0,1.0,Republican,Male,BA+,30-44,3.0
Control (unrelated text),3.0,81.0,3.0,2.0,1.0,2.0,1.0,3.0,12.0,10.0,2.0,3.0,3.0,Republican,Female,BA+,18-29,3.0
Control (unrelated text),3.0,81.0,2.0,2.0,2.0,2.0,2.0,4.0,8.0,9.0,2.0,3.0,2.0,Republican,Female,No degree,30-44,3.0
Scientific consensus,2.0,90.0,1.0,1.0,3.0,1.0,3.0,2.0,9.0,7.0,2.0,2.0,1.0,Republican,Female,Some college,18-29,2.0
Scientific consensus,1.0,90.0,1.0,2.0,1.0,2.0,1.0,2.0,6.0,5.0,2.0,2.0,2.0,Republican,Male,BA+,30-44,2.0
Control (unrelated text),3.0,90.0,3.0,4.0,1.0,3.0,2.0,4.0,12.0,10.0,3.0,3.0,3.0,Republican,Female,BA+,30-44,3.0
Control (unrelated text),1.0,91.0,1.0,2.0,2.0,2.0,2.0,3.0,12.0,8.0,3.0,2.0,1.0,Republican,Male,No degree,18-29,3.0
Causal evidence,2.0,80.0,2.0,1.0,2.0,1.0,2.0,3.0,11.0,10.0,2.0,2.0,3.0,Republican,Female,Some college,30-44,2.0
Scientific consensus,2.0,97.0,2.0,2.0,2.0,1.0,1.0,2.0,11.0,10.0,2.0,2.0,2.0,Republican,Male,Some college,45-59,1.0
Scientific consensus,4.0,97.0,1.0,2.0,1.0,2.0,1.0,5.0,12.0,10.0,3.0,4.0,3.0,Republican,Male,No degree,30-44,1.0
Scientific consensus,1.0,97.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,2.0,2.0,Republican,Female,BA+,45-59,2.0
Causal evidence,1.0,92.0,1.0,1.0,2.0,1.0,2.0,2.0,12.0,10.0,2.0,1.0,1.0,Republican,Male,No degree,30-44,2.0
Causal evidence,1.0,50.0,2.0,2.0,2.0,2.0,2.0,3.0,9.0,5.0,3.0,1.0,2.0,Republican,Female,No degree,30-44,2.0
Causal evidence,2.0,40.0,2.0,3.0,2.0,3.0,3.0,3.0,11.0,7.0,3.0,2.0,3.0,Republican,Male,BA+,30-44,2.0
Control (unrelated text),2.0,92.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,7.0,1.0,2.0,2.0,Republican,Female,BA+,45-59,3.0
Scientific consensus,2.0,78.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,5.0,2.0,2.0,1.0,Republican,Male,BA+,30-44,2.0
Causal evidence,2.0,77.0,2.0,1.0,2.0,2.0,3.0,2.0,9.0,9.0,2.0,2.0,2.0,Independent,Male,Some college,18-29,2.0
Scientific consensus,1.0,97.0,1.0,1.0,3.0,1.0,2.0,1.0,7.0,5.0,2.0,1.0,1.0,Republican,Male,BA+,45-59,1.0
Control (unrelated text),2.0,95.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,5.0,1.0,1.0,1.0,Republican,Female,BA+,18-29,2.0
Scientific consensus,1.0,97.0,1.0,1.0,3.0,1.0,3.0,1.0,8.0,5.0,2.0,2.0,1.0,Republican,Male,No degree,30-44,1.0
Causal evidence,1.0,90.0,1.0,1.0,3.0,1.0,3.0,1.0,9.0,5.0,1.0,1.0,1.0,Independent,Male,No degree,30-44,2.0
Control (unrelated text),2.0,61.0,1.0,1.0,3.0,1.0,2.0,2.0,8.0,7.0,1.0,2.0,1.0,Republican,Female,BA+,30-44,3.0
Control (unrelated text),2.0,90.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,6.0,2.0,2.0,2.0,Republican,Male,No degree,30-44,3.0
Scientific consensus,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,Republican,Male,BA+,45-59,1.0
Scientific consensus,2.0,90.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,7.0,2.0,3.0,3.0,Republican,Female,BA+,30-44,1.0
Causal evidence,3.0,76.0,1.0,1.0,3.0,1.0,3.0,2.0,10.0,9.0,2.0,3.0,1.0,Republican,Female,No degree,30-44,2.0
Causal evidence,2.0,60.0,3.0,3.0,1.0,3.0,2.0,5.0,12.0,10.0,3.0,2.0,3.0,Republican,Female,No degree,30-44,2.0
Causal evidence,4.0,80.0,1.0,3.0,2.0,2.0,2.0,5.0,11.0,7.0,4.0,4.0,2.0,Republican,Female,No degree,60+,2.0
Control (unrelated text),2.0,100.0,2.0,1.0,1.0,1.0,3.0,2.0,12.0,10.0,2.0,1.0,2.0,Republican,Female,No degree,60+,3.0
Causal evidence,2.0,70.0,1.0,1.0,2.0,2.0,3.0,2.0,9.0,7.0,2.0,2.0,1.0,Republican,Female,BA+,30-44,2.0
Causal evidence,2.0,80.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,5.0,1.0,2.0,2.0,Republican,Female,No degree,30-44,2.0
Scientific consensus,3.0,71.0,1.0,1.0,2.0,1.0,2.0,2.0,9.0,10.0,3.0,3.0,2.0,Republican,Female,BA+,30-44,2.0
Causal evidence,4.0,81.0,3.0,4.0,1.0,3.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Male,BA+,60+,2.0
Scientific consensus,2.0,97.0,1.0,1.0,2.0,1.0,3.0,2.0,11.0,8.0,2.0,2.0,2.0,Republican,Female,Some college,45-59,2.0
Causal evidence,2.0,66.0,1.0,2.0,2.0,2.0,2.0,2.0,8.0,5.0,2.0,2.0,2.0,Republican,Female,BA+,45-59,2.0
Control (unrelated text),3.0,71.0,3.0,3.0,1.0,3.0,1.0,5.0,12.0,10.0,4.0,3.0,3.0,Republican,Male,Some college,30-44,3.0
Causal evidence,2.0,82.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,7.0,2.0,2.0,3.0,Republican,Male,BA+,60+,2.0
Scientific consensus,1.0,97.0,3.0,3.0,1.0,3.0,1.0,3.0,12.0,10.0,4.0,1.0,3.0,Republican,Male,BA+,30-44,1.0
Control (unrelated text),1.0,95.0,1.0,1.0,3.0,1.0,3.0,1.0,8.0,5.0,1.0,1.0,1.0,Republican,Male,BA+,45-59,3.0
Causal evidence,2.0,61.0,2.0,2.0,2.0,3.0,1.0,3.0,8.0,8.0,2.0,3.0,2.0,Independent,Female,No degree,45-59,2.0
Scientific consensus,2.0,82.0,1.0,2.0,2.0,2.0,3.0,2.0,9.0,7.0,2.0,2.0,2.0,Republican,Female,No degree,30-44,2.0
Causal evidence,1.0,97.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,5.0,1.0,1.0,1.0,Republican,Female,BA+,30-44,2.0
Control (unrelated text),2.0,29.0,3.0,2.0,2.0,2.0,2.0,3.0,9.0,9.0,4.0,2.0,3.0,Republican,Female,BA+,30-44,3.0
Causal evidence,2.0,82.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,4.0,1.0,2.0,1.0,Republican,Male,BA+,18-29,2.0
Control (unrelated text),3.0,69.0,3.0,3.0,1.0,3.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Female,Some college,45-59,3.0
Scientific consensus,3.0,97.0,3.0,2.0,1.0,3.0,2.0,4.0,12.0,10.0,4.0,3.0,3.0,Republican,Male,BA+,30-44,1.0
Scientific consensus,2.0,75.0,1.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,2.0,2.0,1.0,Republican,Female,No degree,45-59,1.0
Control (unrelated text),3.0,70.0,2.0,3.0,2.0,3.0,2.0,3.0,9.0,9.0,3.0,3.0,2.0,Republican,Female,BA+,60+,3.0
Control (unrelated text),2.0,78.0,2.0,1.0,2.0,1.0,1.0,2.0,10.0,8.0,3.0,2.0,2.0,Republican,Female,BA+,30-44,3.0
Scientific consensus,4.0,60.0,1.0,4.0,2.0,2.0,2.0,3.0,12.0,10.0,4.0,4.0,2.0,Republican,Female,Some college,30-44,1.0
Control (unrelated text),3.0,71.0,2.0,3.0,2.0,2.0,2.0,3.0,12.0,9.0,3.0,3.0,2.0,Republican,Female,BA+,60+,3.0
Causal evidence,4.0,39.0,3.0,4.0,1.0,3.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Male,BA+,45-59,1.0
Control (unrelated text),1.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,Independent,Female,BA+,30-44,3.0
Control (unrelated text),3.0,75.0,2.0,2.0,2.0,2.0,3.0,5.0,12.0,10.0,4.0,3.0,2.0,Republican,Female,BA+,30-44,3.0
Control (unrelated text),2.0,90.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,7.0,2.0,2.0,2.0,Republican,Male,BA+,18-29,3.0
Causal evidence,3.0,30.0,3.0,2.0,1.0,2.0,2.0,3.0,11.0,9.0,3.0,3.0,3.0,Democrat,Female,No degree,45-59,2.0
Control (unrelated text),1.0,81.0,1.0,1.0,3.0,1.0,3.0,1.0,10.0,6.0,2.0,1.0,1.0,Republican,Female,BA+,30-44,3.0
Scientific consensus,3.0,97.0,2.0,2.0,2.0,2.0,2.0,5.0,12.0,10.0,4.0,4.0,2.0,Republican,Male,BA+,45-59,1.0
Control (unrelated text),4.0,19.0,3.0,3.0,2.0,4.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Male,BA+,45-59,3.0
Scientific consensus,3.0,76.0,1.0,1.0,2.0,2.0,2.0,2.0,9.0,7.0,2.0,2.0,1.0,Republican,Female,No degree,18-29,2.0
Control (unrelated text),1.0,90.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,5.0,2.0,1.0,1.0,Republican,Female,BA+,30-44,3.0
Causal evidence,2.0,80.0,1.0,1.0,2.0,1.0,2.0,2.0,8.0,6.0,2.0,2.0,1.0,Republican,Female,No degree,45-59,2.0
Causal evidence,1.0,90.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,5.0,2.0,1.0,1.0,Republican,Male,BA+,30-44,2.0
Scientific consensus,4.0,97.0,3.0,3.0,1.0,3.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Male,No degree,30-44,1.0
Scientific consensus,1.0,97.0,1.0,1.0,3.0,1.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,Republican,Female,No degree,30-44,1.0
Causal evidence,3.0,59.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,7.0,2.0,3.0,1.0,Republican,Female,Some college,30-44,2.0
Scientific consensus,2.0,97.0,3.0,2.0,4.0,2.0,2.0,3.0,12.0,10.0,4.0,2.0,3.0,Republican,Female,No degree,45-59,1.0
Scientific consensus,3.0,97.0,2.0,3.0,1.0,2.0,1.0,5.0,12.0,10.0,4.0,3.0,2.0,Republican,Male,No degree,45-59,1.0
Causal evidence,2.0,90.0,1.0,1.0,3.0,1.0,3.0,3.0,12.0,10.0,4.0,2.0,1.0,Republican,Male,BA+,30-44,2.0
Causal evidence,3.0,70.0,3.0,2.0,1.0,2.0,2.0,4.0,12.0,10.0,4.0,3.0,3.0,Republican,Female,BA+,30-44,2.0
Control (unrelated text),3.0,57.0,2.0,3.0,2.0,3.0,2.0,3.0,11.0,9.0,2.0,3.0,2.0,Republican,Female,BA+,30-44,3.0
Control (unrelated text),2.0,36.0,3.0,2.0,1.0,2.0,1.0,3.0,11.0,9.0,3.0,2.0,3.0,Republican,Female,BA+,30-44,3.0
Control (unrelated text),3.0,60.0,3.0,2.0,1.0,2.0,2.0,3.0,11.0,9.0,3.0,2.0,3.0,Republican,Male,BA+,45-59,3.0
Scientific consensus,2.0,93.0,3.0,2.0,1.0,3.0,3.0,3.0,9.0,7.0,2.0,3.0,2.0,Republican,Female,BA+,30-44,1.0
Causal evidence,2.0,68.0,2.0,2.0,2.0,2.0,1.0,3.0,8.0,6.0,2.0,2.0,2.0,Republican,Male,Some college,30-44,2.0
Scientific consensus,1.0,100.0,1.0,1.0,3.0,1.0,2.0,1.0,9.0,5.0,2.0,1.0,1.0,Republican,Female,No degree,45-59,2.0
Scientific consensus,4.0,97.0,3.0,3.0,1.0,3.0,3.0,3.0,10.0,9.0,3.0,4.0,3.0,Republican,Male,No degree,45-59,1.0
Control (unrelated text),1.0,92.0,1.0,1.0,3.0,2.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,Democrat,Female,BA+,45-59,3.0
Scientific consensus,2.0,27.0,3.0,3.0,2.0,3.0,2.0,2.0,8.0,7.0,2.0,2.0,3.0,Republican,Female,BA+,30-44,2.0
Control (unrelated text),1.0,85.0,1.0,1.0,2.0,2.0,2.0,1.0,11.0,5.0,2.0,1.0,1.0,Republican,Female,BA+,60+,3.0
Scientific consensus,2.0,95.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0,7.0,2.0,2.0,2.0,Republican,Female,BA+,30-44,1.0
Causal evidence,3.0,95.0,3.0,3.0,1.0,3.0,2.0,3.0,12.0,10.0,3.0,3.0,3.0,Republican,Male,Some college,45-59,2.0
Control (unrelated text),2.0,80.0,1.0,2.0,3.0,2.0,2.0,3.0,9.0,5.0,2.0,2.0,1.0,Republican,Female,No degree,45-59,3.0
Control (unrelated text),2.0,80.0,2.0,2.0,2.0,2.0,2.0,4.0,12.0,10.0,2.0,2.0,2.0,Republican,Female,BA+,60+,3.0
Control (unrelated text),4.0,70.0,3.0,3.0,1.0,3.0,1.0,3.0,12.0,10.0,4.0,4.0,3.0,Republican,Male,BA+,18-29,3.0
Causal evidence,3.0,75.0,1.0,2.0,1.0,2.0,2.0,3.0,12.0,9.0,2.0,2.0,2.0,Republican,Female,Some college,60+,2.0
Causal evidence,2.0,75.0,1.0,2.0,3.0,2.0,3.0,1.0,9.0,7.0,2.0,1.0,1.0,Republican,Female,BA+,30-44,2.0
Causal evidence,4.0,90.0,2.0,3.0,1.0,3.0,1.0,3.0,12.0,10.0,3.0,4.0,3.0,Republican,Female,BA+,60+,2.0
Scientific consensus,1.0,97.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,4.0,1.0,1.0,1.0,Republican,Female,BA+,45-59,1.0
Scientific consensus,4.0,0.0,3.0,4.0,1.0,4.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Male,BA+,60+,2.0
Scientific consensus,4.0,97.0,3.0,2.0,1.0,2.0,1.0,4.0,12.0,10.0,4.0,3.0,3.0,Republican,Female,BA+,30-44,1.0
Scientific consensus,1.0,97.0,1.0,1.0,4.0,1.0,4.0,1.0,6.0,4.0,1.0,1.0,1.0,Republican,Female,BA+,30-44,1.0
Scientific consensus,2.0,79.0,2.0,1.0,2.0,1.0,2.0,4.0,11.0,9.0,3.0,2.0,2.0,Republican,Female,BA+,45-59,1.0
Causal evidence,2.0,65.0,2.0,2.0,2.0,1.0,1.0,3.0,9.0,7.0,2.0,2.0,2.0,Republican,Female,BA+,30-44,2.0
Causal evidence,1.0,79.0,1.0,1.0,2.0,1.0,3.0,2.0,7.0,5.0,2.0,1.0,2.0,Republican,Female,BA+,18-29,2.0
Scientific consensus,2.0,75.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,5.0,2.0,2.0,2.0,Republican,Female,Some college,45-59,1.0
Causal evidence,2.0,80.0,2.0,2.0,1.0,2.0,2.0,3.0,8.0,7.0,2.0,2.0,2.0,Republican,Male,No degree,30-44,2.0
Scientific consensus,1.0,97.0,1.0,1.0,3.0,1.0,3.0,2.0,8.0,6.0,2.0,1.0,1.0,Republican,Male,BA+,30-44,1.0
Control (unrelated text),1.0,85.0,1.0,1.0,2.0,1.0,3.0,2.0,7.0,5.0,2.0,1.0,1.0,Republican,Male,No degree,30-44,3.0
Scientific consensus,3.0,97.0,1.0,2.0,1.0,2.0,1.0,5.0,12.0,10.0,3.0,4.0,2.0,Independent,Male,BA+,60+,1.0
Control (unrelated text),2.0,85.0,2.0,2.0,2.0,2.0,2.0,3.0,12.0,10.0,2.0,2.0,2.0,Republican,Male,BA+,45-59,3.0
Causal evidence,3.0,65.0,1.0,3.0,1.0,1.0,1.0,5.0,12.0,10.0,4.0,3.0,3.0,Republican,Female,No degree,60+,2.0
Control (unrelated text),1.0,61.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,4.0,2.0,1.0,2.0,Democrat,Female,No degree,30-44,3.0
Control (unrelated text),2.0,71.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,4.0,1.0,2.0,1.0,Democrat,Male,BA+,30-44,3.0
Control (unrelated text),4.0,50.0,3.0,3.0,1.0,4.0,1.0,5.0,12.0,10.0,4.0,4.0,3.0,Republican,Male,BA+,30-44,3.0
Causal evidence,3.0,90.0,3.0,3.0,1.0,3.0,3.0,5.0,12.0,10.0,4.0,3.0,3.0,Republican,Female,BA+,45-59,2.0
Control (unrelated text),1.0,91.0,3.0,2.0,1.0,1.0,1.0,1.0,8.0,8.0,2.0,1.0,2.0,Republican,Male,No degree,45-59,3.0
Causal evidence,2.0,80.0,1.0,1.0,2.0,2.0,3.0,2.0,9.0,8.0,2.0,2.0,1.0,Republican,Male,BA+,45-59,2.0
Scientific consensus,2.0,59.0,1.0,2.0,2.0,1.0,2.0,3.0,9.0,7.0,2.0,2.0,1.0,Republican,Female,BA+,30-44,2.0
Causal evidence,1.0,95.0,1.0,1.0,3.0,1.0,3.0,1.0,7.0,5.0,1.0,1.0,1.0,Republican,Male,BA+,45-59,2.0
