arm,condition,treatment_message_id,model,model_family,prompt_variant_number,treatment_message_word_count,valence_correct,gender,age,age_band,education,party_affiliation,political_party,political_ideology,political_knowledge,confinement-1,confinement-2-reversed,confinement-3,confinement-4,confinement_mean
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,53,45-59,High school diploma,Independent,2,1,2,5.0,5.0,5.0,5.0,5.0
Control,control,,,,,,,Male,49,45-59,High school diploma,Moderate Republican,3,1,3,55.0,55.0,50.0,60.0,55.0
Message 27,AI,ban_solitary_confinement_juveniles_Yi-9B_1,Yi-9B,Yi,1.0,293.0,1.0,Female,55,45-59,4-year college,Strong Democrat,0,1,3,0.0,0.0,10.0,0.0,2.5
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,41,30-44,Graduate degree,Strong Democrat,0,0,2,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Female,31,30-44,High school diploma,Independent,2,2,3,0.0,0.0,12.0,8.0,5.0
Message 22,AI,ban_solitary_confinement_juveniles_pythia-160m_2,pythia-160m,pythia,2.0,59.0,0.0,Female,62,60+,Graduate degree,Strong Democrat,0,0,2,90.0,10.0,80.0,90.0,67.5
Message 45,AI,ban_solitary_confinement_juveniles_pythia-6.9b_3,pythia-6.9b,pythia,3.0,255.0,0.0,Female,37,30-44,4-year college,Moderate Democrat,1,3,1,56.0,66.0,57.0,70.0,62.25
Control,control,,,,,,,Male,59,45-59,4-year college,Strong Democrat,0,2,3,15.0,25.0,40.0,42.0,30.5
Control,control,,,,,,,Female,62,60+,Graduate degree,Strong Republican,4,4,3,10.0,6.0,9.0,10.0,8.75
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,44,30-44,4-year college,Independent,2,1,1,50.0,50.0,50.0,50.0,50.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,47,45-59,4-year college,Independent,2,1,3,75.0,80.0,60.0,70.0,71.25
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,61,60+,4-year college,Strong Democrat,0,1,3,39.0,34.0,30.0,30.0,33.25
Message 24,AI,ban_solitary_confinement_juveniles_pythia-12b_3,pythia-12b,pythia,3.0,223.0,0.0,Male,63,60+,Graduate degree,Independent,2,2,3,100.0,90.0,100.0,0.0,72.5
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Male,68,60+,High school diploma,Strong Republican,4,3,3,100.0,100.0,100.0,100.0,100.0
Message 62,AI,ban_solitary_confinement_juveniles_Yi-34B_1,Yi-34B,Yi,1.0,280.0,1.0,Female,41,30-44,4-year college,Independent,2,0,2,0.0,100.0,100.0,0.0,50.0
Control,control,,,,,,,Female,68,60+,Technical certification or trade school,Moderate Republican,3,3,3,0.0,100.0,0.0,0.0,25.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,38,30-44,4-year college,Independent,2,2,3,61.0,82.0,43.0,39.0,56.25
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Male,24,18-29,2-year college,Strong Democrat,0,0,3,90.0,0.0,0.0,0.0,22.5
Message 23,AI,ban_solitary_confinement_juveniles_pythia-410m_3,pythia-410m,pythia,3.0,131.0,1.0,Male,56,45-59,4-year college,Strong Democrat,0,0,3,20.0,18.0,7.0,8.0,13.25
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,46,45-59,4-year college,Independent,2,1,2,50.0,50.0,50.0,50.0,50.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Male,43,30-44,4-year college,Strong Republican,4,4,3,0.0,100.0,0.0,0.0,25.0
Message 60,AI,ban_solitary_confinement_juveniles_pythia-1b_1,pythia-1b,pythia,1.0,139.0,1.0,Male,26,18-29,4-year college,Strong Republican,4,4,3,90.0,66.0,78.0,60.0,73.5
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,40,30-44,High school diploma,Strong Democrat,0,0,1,100.0,100.0,100.0,100.0,100.0
Control,control,,,,,,,Male,55,45-59,Graduate degree,Strong Democrat,0,4,3,10.0,10.0,20.0,10.0,12.5
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,54,45-59,Technical certification or trade school,Moderate Democrat,1,2,3,82.0,69.0,34.0,31.0,54.0
Message 24,AI,ban_solitary_confinement_juveniles_pythia-12b_3,pythia-12b,pythia,3.0,223.0,0.0,Female,49,45-59,2-year college,Moderate Republican,3,2,2,90.0,9.0,8.0,12.0,29.75
Message 07,AI,ban_solitary_confinement_juveniles_pythia-1b_3,pythia-1b,pythia,3.0,119.0,0.0,Male,32,30-44,4-year college,Moderate Democrat,1,1,3,0.0,0.0,0.0,0.0,0.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,23,18-29,4-year college,Moderate Republican,3,3,2,100.0,100.0,100.0,0.0,75.0
Message 73,AI,ban_solitary_confinement_juveniles_pythia-1.4b_3,pythia-1.4b,pythia,3.0,147.0,0.0,Female,39,30-44,4-year college,Moderate Republican,3,2,3,55.0,60.0,45.0,60.0,55.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,24,18-29,High school diploma,Independent,2,2,3,0.0,9.0,0.0,20.0,7.25
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,66,60+,High school diploma,Independent,2,2,3,80.0,79.0,40.0,70.0,67.25
Control,control,,,,,,,Female,26,18-29,Graduate degree,Strong Democrat,0,0,3,1.0,6.0,13.0,7.0,6.75
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Male,33,30-44,4-year college,Strong Democrat,0,0,3,0.0,9.0,0.0,100.0,27.25
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,30,30-44,4-year college,Moderate Democrat,1,1,1,14.0,5.0,1.0,81.0,25.25
Control,control,,,,,,,Male,53,45-59,High school diploma,Moderate Republican,3,3,3,30.0,75.0,55.0,70.0,57.5
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,24,18-29,2-year college,Strong Democrat,0,1,1,58.0,52.0,55.0,47.0,53.0
Message 67,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_3,Qwen1.5-14B,Qwen1.5,3.0,262.0,1.0,Female,28,18-29,4-year college,Strong Democrat,0,0,1,18.0,72.0,42.0,82.0,53.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,63,60+,2-year college,Strong Republican,4,3,2,92.0,90.0,91.0,10.0,70.75
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,28,18-29,High school diploma,Moderate Democrat,1,1,3,20.0,30.0,40.0,38.0,32.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,40,30-44,Graduate degree,Independent,2,2,3,80.0,82.0,66.0,78.0,76.5
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,66,60+,4-year college,Strong Democrat,0,2,3,70.0,70.0,50.0,50.0,60.0
Control,control,,,,,,,Female,29,18-29,Graduate degree,Strong Democrat,0,0,3,15.0,15.0,70.0,10.0,27.5
Control,control,,,,,,,Female,39,30-44,4-year college,Moderate Democrat,1,1,2,0.0,0.0,11.0,100.0,27.75
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,51,45-59,4-year college,Independent,2,2,3,90.0,100.0,68.0,100.0,89.5
Message 33,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_2,Qwen1.5-14B,Qwen1.5,2.0,262.0,1.0,Male,57,45-59,High school diploma,Strong Republican,4,4,2,34.0,48.0,45.0,100.0,56.75
Message 12,AI,ban_solitary_confinement_juveniles_pythia-2.8b_2,pythia-2.8b,pythia,2.0,86.0,0.0,Male,51,45-59,Graduate degree,Strong Democrat,0,0,1,72.0,32.0,71.0,75.0,62.5
Message 07,AI,ban_solitary_confinement_juveniles_pythia-1b_3,pythia-1b,pythia,3.0,119.0,0.0,Female,31,30-44,High school diploma,Strong Democrat,0,0,3,0.0,0.0,10.0,0.0,2.5
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Female,65,60+,4-year college,Moderate Democrat,1,1,3,30.0,19.0,21.0,16.0,21.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,31,30-44,2-year college,Independent,2,0,1,66.0,59.0,62.0,61.0,62.0
Control,control,,,,,,,Male,40,30-44,4-year college,Moderate Democrat,1,0,3,2.0,0.0,3.0,3.0,2.0
Control,control,,,,,,,Female,60,60+,High school diploma,Strong Democrat,0,0,2,13.0,4.0,5.0,0.0,5.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,68,60+,High school diploma,Strong Democrat,0,0,3,66.0,68.0,55.0,58.0,61.75
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,55,45-59,High school diploma,Independent,2,3,3,100.0,100.0,80.0,0.0,70.0
Message 40,AI,ban_solitary_confinement_juveniles_falcon-7b_2,falcon-7b,falcon,2.0,121.0,0.0,Female,67,60+,4-year college,Independent,2,2,3,0.0,0.0,10.0,10.0,5.0
Message 61,AI,ban_solitary_confinement_juveniles_falcon-40b_3,falcon-40b,falcon,3.0,303.0,1.0,Male,34,30-44,Graduate degree,Strong Democrat,0,2,3,3.0,0.0,2.0,0.0,1.25
Message 68,AI,ban_solitary_confinement_juveniles_pythia-410m_2,pythia-410m,pythia,2.0,177.0,0.0,Male,46,45-59,Graduate degree,Strong Democrat,0,1,3,0.0,0.0,100.0,0.0,25.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,27,18-29,4-year college,Independent,2,1,2,38.0,36.0,61.0,30.0,41.25
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Female,46,45-59,Technical certification or trade school,Strong Democrat,0,0,3,20.0,10.0,3.0,10.0,10.75
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,34,30-44,Graduate degree,Strong Republican,4,4,3,83.0,55.0,51.0,63.0,63.0
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Male,77,60+,4-year college,Moderate Democrat,1,1,3,51.0,43.0,71.0,49.0,53.5
Message 25,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_1,Llama-2-7b-hf,Llama,1.0,245.0,1.0,Male,27,18-29,4-year college,Strong Democrat,0,1,3,75.0,28.0,60.0,86.0,62.25
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,36,30-44,4-year college,Moderate Democrat,1,1,3,25.0,30.0,20.0,25.0,25.0
Control,control,,,,,,,Female,36,30-44,High school diploma,Strong Democrat,0,0,2,10.0,0.0,5.0,100.0,28.75
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,42,30-44,4-year college,Strong Democrat,0,2,1,72.0,25.0,65.0,30.0,48.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,68,60+,2-year college,Moderate Republican,3,3,3,100.0,100.0,100.0,100.0,100.0
Control,control,,,,,,,Female,28,18-29,2-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Female,37,30-44,2-year college,Moderate Democrat,1,1,3,90.0,4.0,8.0,10.0,28.0
Control,control,,,,,,,Male,37,30-44,4-year college,Moderate Republican,3,3,3,29.0,24.0,32.0,30.0,28.75
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Female,53,45-59,Graduate degree,Moderate Republican,3,3,3,40.0,40.0,45.0,40.0,41.25
Control,control,,,,,,,Female,23,18-29,High school diploma,Moderate Democrat,1,1,3,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Male,38,30-44,Graduate degree,Strong Democrat,0,4,3,100.0,0.0,100.0,100.0,75.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,49,45-59,4-year college,Moderate Democrat,1,1,2,41.0,39.0,60.0,58.0,49.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,72,60+,Graduate degree,Strong Democrat,0,0,3,61.0,60.0,50.0,41.0,53.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,61,60+,Technical certification or trade school,Strong Republican,4,4,3,20.0,19.0,3.0,10.0,13.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,69,60+,4-year college,Strong Democrat,0,1,3,15.0,15.0,15.0,15.0,15.0
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,35,30-44,High school diploma,Strong Democrat,0,0,3,0.0,0.0,5.0,0.0,1.25
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,55,45-59,4-year college,Independent,2,2,3,10.0,10.0,10.0,10.0,10.0
Control,control,,,,,,,Male,22,18-29,High school diploma,Independent,2,2,3,75.0,70.0,20.0,50.0,53.75
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Male,26,18-29,4-year college,Independent,2,0,3,69.0,27.0,40.0,68.0,51.0
Control,control,,,,,,,Male,25,18-29,4-year college,Moderate Democrat,1,1,1,30.0,30.0,22.0,22.0,26.0
Message 08,AI,ban_solitary_confinement_juveniles_pythia-70m_3,pythia-70m,pythia,3.0,61.0,1.0,Female,44,30-44,Technical certification or trade school,Moderate Democrat,1,1,2,43.0,45.0,60.0,55.0,50.75
Message 53,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_2,Qwen1.5-1.8B,Qwen1.5,2.0,256.0,0.0,Male,45,45-59,4-year college,Moderate Democrat,1,1,3,0.0,0.0,0.0,100.0,25.0
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,29,18-29,4-year college,Independent,2,0,3,70.0,70.0,75.0,40.0,63.75
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Male,47,45-59,High school diploma,Independent,2,2,1,24.0,77.0,66.0,25.0,48.0
Control,control,,,,,,,Female,71,60+,High school diploma,Strong Democrat,0,0,2,0.0,0.0,0.0,0.0,0.0
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Male,69,60+,Graduate degree,Independent,2,3,3,100.0,100.0,100.0,0.0,75.0
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,39,30-44,2-year college,Moderate Democrat,1,1,3,9.0,10.0,8.0,94.0,30.25
Message 24,AI,ban_solitary_confinement_juveniles_pythia-12b_3,pythia-12b,pythia,3.0,223.0,0.0,Female,27,18-29,Graduate degree,Moderate Democrat,1,0,1,0.0,8.0,10.0,0.0,4.5
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,22,18-29,4-year college,Independent,2,2,2,15.0,95.0,1.0,3.0,28.5
Control,control,,,,,,,Male,70,60+,High school diploma,"Other (Libertarian, Green, etc.)",2,2,2,30.0,70.0,70.0,50.0,55.0
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,45,45-59,High school diploma,Strong Democrat,0,0,3,77.0,32.0,42.0,65.0,54.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,40,30-44,4-year college,Moderate Democrat,1,1,3,100.0,100.0,80.0,20.0,75.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Non-binary / third gender,53,45-59,High school diploma,Strong Democrat,0,0,3,3.0,3.0,2.0,3.0,2.75
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,46,45-59,4-year college,Independent,2,2,3,100.0,100.0,100.0,0.0,75.0
Message 60,AI,ban_solitary_confinement_juveniles_pythia-1b_1,pythia-1b,pythia,1.0,139.0,1.0,Male,25,18-29,4-year college,Independent,2,4,3,100.0,100.0,100.0,0.0,75.0
Message 38,AI,ban_solitary_confinement_juveniles_pythia-1b_2,pythia-1b,pythia,2.0,88.0,0.0,Male,32,30-44,High school diploma,Strong Democrat,0,0,3,0.0,0.0,20.0,0.0,5.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Non-binary / third gender,24,18-29,4-year college,"Other (Libertarian, Green, etc.)",2,0,3,10.0,10.0,10.0,5.0,8.75
Message 41,AI,ban_solitary_confinement_juveniles_pythia-70m_2,pythia-70m,pythia,2.0,145.0,0.0,Male,34,30-44,High school diploma,Strong Republican,4,3,3,100.0,100.0,100.0,0.0,75.0
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Female,70,60+,2-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 57,AI,ban_solitary_confinement_juveniles_falcon-7b_1,falcon-7b,falcon,1.0,185.0,1.0,Female,63,60+,High school diploma,Strong Republican,4,4,1,50.0,50.0,33.0,50.0,45.75
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Male,31,30-44,4-year college,Independent,2,3,2,79.0,22.0,21.0,20.0,35.5
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,26,18-29,4-year college,Moderate Democrat,1,4,3,69.0,78.0,36.0,63.0,61.5
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,38,30-44,2-year college,Moderate Republican,3,3,3,87.0,92.0,85.0,89.0,88.25
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,36,30-44,2-year college,Strong Republican,4,4,1,71.0,37.0,44.0,60.0,53.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Male,55,45-59,4-year college,Strong Democrat,0,0,3,90.0,91.0,80.0,91.0,88.0
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,38,30-44,2-year college,Independent,2,3,2,50.0,0.0,0.0,0.0,12.5
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,48,45-59,4-year college,Moderate Democrat,1,1,3,15.0,15.0,10.0,10.0,12.5
Control,control,,,,,,,Female,33,30-44,4-year college,Moderate Democrat,1,1,2,4.0,2.0,3.0,99.0,27.0
Message 31,AI,ban_solitary_confinement_juveniles_Yi-6B_3,Yi-6B,Yi,3.0,295.0,0.0,Female,32,30-44,High school diploma,Independent,2,2,2,100.0,0.0,0.0,0.0,25.0
Control,control,,,,,,,Female,39,30-44,4-year college,Independent,2,2,1,25.0,20.0,21.0,69.0,33.75
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,25,18-29,4-year college,Moderate Democrat,1,1,3,80.0,91.0,86.0,97.0,88.5
Control,control,,,,,,,Female,21,18-29,2-year college,Moderate Republican,3,3,2,35.0,42.0,38.0,58.0,43.25
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,48,45-59,4-year college,Moderate Republican,3,3,3,65.0,63.0,65.0,66.0,64.75
Message 20,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_2,Llama-2-13b-hf,Llama,2.0,267.0,1.0,Female,40,30-44,Technical certification or trade school,Independent,2,2,3,50.0,60.0,70.0,50.0,57.5
